model,rouge1_f,rouge2_f,rougeL_f
pager_summary_ns2_bw0.0_pw0.0_l0.2_pg10_modYes_umTrue,0.2272080000000001,0.03986399999999997,0.14448400000000006
pager_summary_ns2_bw0.0_pw0.6_l0.8_pgNone_modNone_umTrue,0.22666400000000006,0.039051999999999996,0.14477399999999999
pager_summary_ns2_bw0.6_pw0.0_l0.2_pgNone_modNone_umTrue,0.22648999999999972,0.039875999999999995,0.1416920000000001
pager_summary_ns2_bw0.0_pw0.6_l0.2_pg10_modYes_umTrue,0.22592800000000002,0.036395999999999956,0.14358200000000002
pager_summary_ns2_bw0.0_pw0.6_l0.8_pgNone_modYes_umTrue,0.22423800000000008,0.04015199999999997,0.144548
lda_summary_ns5_bw0.6_pw0.6,0.22354799999999983,0.04645399999999997,0.13322000000000017
pager_summary_ns5_bw0.0_pw0.0_l0.2_pgNone_modYes_umTrue,0.22338200000000008,0.04079000000000001,0.13340800000000014
lda_summary_ns5_bw0.0_pw0.6,0.2224179999999999,0.04515400000000003,0.13160200000000005
pager_summary_ns2_bw0.6_pw0.6_l0.2_pgNone_modNone_umTrue,0.22235799999999997,0.034390000000000025,0.13902999999999996
pager_summary_ns2_bw0.6_pw0.0_l0.2_pg10_modYes_umTrue,0.22173200000000004,0.037836,0.14149199999999995
pager_summary_ns5_bw0.6_pw0.0_l0.2_pgNone_modYes_umTrue,0.221726,0.03784999999999999,0.13275600000000004
pager_summary_ns2_bw0.0_pw0.6_l0.2_pgNone_modNone_umTrue,0.21808800000000003,0.03532999999999999,0.13900799999999983
pager_summary_ns5_bw0.0_pw0.6_l0.2_pgNone_modYes_umTrue,0.21774800000000025,0.03698799999999999,0.12900199999999995
pager_summary_ns5_bw0.6_pw0.6_l0.2_pgNone_modYes_umTrue,0.21755600000000003,0.037520000000000005,0.12930999999999995
lda_summary_ns5_bw0.6_pw0.0,0.21745600000000007,0.047267999999999984,0.12911000000000009
pager_summary_ns2_bw0.0_pw0.0_l0.8_pgNone_modYes_umTrue,0.21740800000000002,0.037183999999999974,0.14024399999999992
pager_summary_ns2_bw0.0_pw0.0_l0.2_pgNone_modNone_umTrue,0.21627599999999983,0.03813599999999998,0.13801799999999992
lda_summary_ns2_bw0.0_pw0.6,0.21049799999999994,0.03761799999999999,0.13162599999999997
pager_summary_ns2_bw0.6_pw0.0_l0.2_pgNone_modYes_umTrue,0.20872800000000002,0.036586000000000014,0.13797800000000007
pager_summary_ns2_bw0.6_pw0.6_l0.2_pgNone_modYes_umTrue,0.2055839999999999,0.03406200000000001,0.13328000000000004
lda_summary_ns5_bw0.0_pw0.0,0.20553400000000016,0.041593999999999916,0.12221000000000003
pager_summary_ns2_bw0.0_pw0.6_l0.2_pgNone_modYes_umTrue,0.20237600000000006,0.03413799999999997,0.13289599999999993
pager_summary_ns2_bw0.0_pw0.0_l0.2_pgNone_modYes_umTrue,0.19812400000000005,0.03470600000000001,0.13202600000000012
